TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;ID_SUBCLASSE;DENOM_SOCIAL;DT_COMPTC;MES_RENTAB;PR_RENTAB_MES;PR_VARIACAO_INDICE_REFER_MES;PR_PERFM_INDICE_REFER_MES;RENTAB_MES_OBS
FI;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-01-31;1;0.89;1.01;88.43;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-01-31;2;0.66;0.80;81.69;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-01-31;3;0.66;0.83;79.19;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-01-31;4;0.72;0.89;81.08;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-01-31;5;0.95;0.83;114.01;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-01-31;6;0.67;0.79;84.56;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-01-31;7;0.74;0.91;81.55;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-01-31;8;0.67;0.87;77.73;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-01-31;9;0.66;0.83;79.21;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
FI;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-01-31;10;0.76;0.93;82.11;Caso o fundo e/ou o índice de referência apresente rentabilidade negativa, o desempenho do fundo como percentual do índice de referência deve ser avaliado em conjunto com as rentabilidades de cada indicador de desempenho.
