TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;ID_SUBCLASSE;DENOM_SOCIAL;DT_COMPTC;TP_ATIVO;PR_PL_ATIVO
CLASSES - FIF;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-07-31;Cotas de fundos de investimento 409;91.59
CLASSES - FIF;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-07-31;Depósitos a prazo e outros títulos de instituições financeiras;8.51
CLASSES - FIF;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;0.01
CLASSES - FIF;00.089.915/0001-15;;AMARIL FRANKLIN FIC DE FIF MULTIMERCADO - CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-07-31;Títulos públicos federais;0.03
CLASSES - FIF;00.280.302/0001-60;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CRÉDITO PRIVADO LP TIPO - RESP LIMITADA;2025-07-31;Cotas de fundos de investimento 409;7.70
CLASSES - FIF;00.280.302/0001-60;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CRÉDITO PRIVADO LP TIPO - RESP LIMITADA;2025-07-31;Depósitos a prazo e outros títulos de instituições financeiras;17.66
CLASSES - FIF;00.280.302/0001-60;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CRÉDITO PRIVADO LP TIPO - RESP LIMITADA;2025-07-31;Derivativos;-4.86
CLASSES - FIF;00.280.302/0001-60;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CRÉDITO PRIVADO LP TIPO - RESP LIMITADA;2025-07-31;Operações compromissadas lastreadas em títulos públicos federais;21.25
CLASSES - FIF;00.280.302/0001-60;;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CRÉDITO PRIVADO LP TIPO - RESP LIMITADA;2025-07-31;Títulos públicos federais;53.45
CLASSES - FIF;00.306.278/0001-91;;BRADESCO FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADA DI - RESPONSABILIDADE LIMITADA;2025-07-31;Cotas de fundos de investimento 409;1.66
CLASSES - FIF;00.306.278/0001-91;;BRADESCO FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADA DI - RESPONSABILIDADE LIMITADA;2025-07-31;Depósitos a prazo e outros títulos de instituições financeiras;25.40
